name,province,region,English,French,both,either,neither,total,engperc,frenperc
Saint-Pamphile,pr24,QuAbec,295,2675,290,2680,0,2680,11.00746269,99.81343284
Saint-Adalbert,pr24,QuAbec,55,535,50,540,0,540,10.18518519,99.07407407
Saint-Marcel,pr24,QuAbec,40,440,40,440,0,440,9.090909091,100
Sainte-FA clicitA c,pr24,QuAbec,35,405,35,405,0,405,8.641975309,100
Sainte-PerpA ctue,pr24,QuAbec,160,1740,160,1740,0,1740,9.195402299,100
Tourville,pr24,QuAbec,60,630,60,630,0,630,9.523809524,100
Saint-Damase-de-L Islet,pr24,QuAbec,65,590,65,590,0,590,11.01694915,100
Saint-Cyrille-de-Lessard,pr24,QuAbec,70,745,65,750,0,750,9.333333333,99.33333333
Saint-Aubert,pr24,QuAbec,170,1400,170,1400,0,1400,12.14285714,100
Sainte-Louise,pr24,QuAbec,95,705,95,705,0,705,13.4751773,100
Saint-Roch-des-Aulnaies,pr24,QuAbec,215,970,215,970,0,970,22.16494845,100
Saint-Jean-Port-Joli,pr24,QuAbec,635,3230,635,3230,0,3230,19.65944272,100
L Islet,pr24,QuAbec,575,3910,575,3910,0,3910,14.70588235,100
Saint-Just-de-BreteniA  res,pr24,QuAbec,65,710,65,710,0,710,9.154929577,100
Lac-FrontiA  re,pr24,QuAbec,40,195,40,195,0,195,20.51282051,100
Saint-Fabien-de-Panet,pr24,QuAbec,130,915,130,915,0,915,14.20765027,100
Sainte-Lucie-de-Beauregard,pr24,QuAbec,25,305,25,305,0,305,8.196721311,100
Sainte-Apolline-de-Patton,pr24,QuAbec,30,540,30,540,0,540,5.555555556,100
Saint-Paul-de-Montminy,pr24,QuAbec,110,830,110,830,0,830,13.25301205,100
Sainte-EuphA cmie-sur-RiviA  re-du-Sud,pr24,QuAbec,30,325,30,325,0,325,9.230769231,100
Notre-Dame-du-Rosaire,pr24,QuAbec,55,390,50,395,0,395,13.92405063,98.73417722
Cap-Saint-Ignace,pr24,QuAbec,380,2995,380,2995,0,2995,12.68781302,100
Montmagny,pr24,QuAbec,1805,11355,1795,11365,10,11375,15.86813187,99.82417582
Saint-Pierre-de-la-RiviA  re-du-Sud,pr24,QuAbec,135,920,135,920,0,920,14.67391304,100
Saint-franAßois-de-la-RiviA  re-du-Sud,pr24,QuAbec,240,1595,240,1595,0,1595,15.04702194,100
Berthier-sur-Mer,pr24,QuAbec,330,1395,325,1400,0,1400,23.57142857,99.64285714
Saint-Antoine-de-l Isle-aux-Grues,pr24,QuAbec,20,145,20,145,0,145,13.79310345,100
Saint-PhilA cmon,pr24,QuAbec,95,725,95,725,0,725,13.10344828,100
Notre-Dame-Auxiliatrice-de-Buckland,pr24,QuAbec,105,785,105,785,0,785,13.37579618,100
Saint-Nazaire-de-Dorchester,pr24,QuAbec,40,355,40,355,0,355,11.26760563,100
Saint-LA con-de-Standon,pr24,QuAbec,120,1125,120,1125,0,1125,10.66666667,100
Saint-Malachie,pr24,QuAbec,325,1470,320,1475,0,1475,22.03389831,99.66101695
Saint-Damien-de-Buckland,pr24,QuAbec,325,1845,325,1845,0,1845,17.61517615,100
Armagh,pr24,QuAbec,205,1460,205,1460,0,1460,14.04109589,100
Saint-NA crA ce,pr24,QuAbec,115,745,115,745,0,745,15.43624161,100
Saint-Lazare-de-Bellechasse,pr24,QuAbec,165,1165,165,1165,0,1165,14.16309013,100
Sainte-Claire,pr24,QuAbec,535,3265,535,3265,0,3265,16.38591118,100
Saint-Anselme,pr24,QuAbec,580,3385,570,3395,5,3400,17.05882353,99.55882353
Saint-Henri,pr24,QuAbec,1030,5015,1025,5020,0,5020,20.51792829,99.90039841
Honfleur,pr24,QuAbec,115,760,115,760,0,760,15.13157895,100
Saint-Gervais,pr24,QuAbec,290,2025,285,2030,0,2030,14.28571429,99.75369458
Saint-RaphaA´l,pr24,QuAbec,310,2410,310,2410,0,2410,12.86307054,100
La Durantaye,pr24,QuAbec,115,720,115,720,0,720,15.97222222,100
Saint-Charles-de-Bellechasse,pr24,QuAbec,375,2240,375,2240,0,2240,16.74107143,100
Beaumont,pr24,QuAbec,645,2415,635,2425,0,2425,26.59793814,99.58762887
Saint-Michel-de-Bellechasse,pr24,QuAbec,500,1775,495,1780,0,1780,28.08988764,99.71910112
Saint-Vallier,pr24,QuAbec,210,1045,210,1045,0,1045,20.09569378,100
Saint-franAßois-de-l AZle-d OrlA cans,pr24,QuAbec,155,520,155,520,0,520,29.80769231,100
Sainte-Famille,pr24,QuAbec,215,820,215,820,0,820,26.2195122,100
Saint-Jean-de-l AZle-d OrlA cans,pr24,QuAbec,330,920,330,920,0,920,35.86956522,100
Saint-Laurent-de-l AZle-d OrlA cans,pr24,QuAbec,525,1580,525,1580,0,1580,33.2278481,100
Saint-Pierre-de-l AZle-d OrlA cans,pr24,QuAbec,410,1735,405,1740,0,1740,23.56321839,99.71264368
Sainte-PA ctronille,pr24,QuAbec,455,1040,455,1040,0,1040,43.75,100
Saint-Tite-des-Caps,pr24,QuAbec,215,1500,210,1505,0,1505,14.28571429,99.66777409
Saint-FerrA col-les-Neiges,pr24,QuAbec,1165,2950,1150,2965,0,2965,39.29173693,99.49409781
Saint-Joachim,pr24,QuAbec,235,1440,235,1440,0,1440,16.31944444,100
BeauprA c,pr24,QuAbec,925,3275,920,3280,0,3280,28.20121951,99.84756098
Sainte-Anne-de-BeauprA c,pr24,QuAbec,595,2835,590,2840,0,2840,20.95070423,99.82394366
ChA¢teau-Richer,pr24,QuAbec,845,3795,840,3800,0,3800,22.23684211,99.86842105
L Ange-Gardien,pr24,QuAbec,860,3630,860,3630,5,3635,23.65887208,99.86244842
Boischatel,pr24,QuAbec,2035,6320,2030,6325,0,6325,32.17391304,99.92094862
Sainte-Catherine-de-la-Jacques-Cartier,pr24,QuAbec,2110,6275,2100,6285,0,6285,33.57199682,99.84089101
Fossambault-sur-le-Lac,pr24,QuAbec,670,1610,665,1615,0,1615,41.48606811,99.69040248
Lac-Saint-Joseph,pr24,QuAbec,140,250,140,250,0,250,56,100
Shannon,pr24,QuAbec,2565,4990,2470,5085,0,5085,50.44247788,98.13176008
Saint-Gabriel-de-Valcartier,pr24,QuAbec,1445,2870,1380,2935,0,2935,49.23339012,97.78534923
Lac-Delage,pr24,QuAbec,305,595,300,600,0,600,50.83333333,99.16666667
Stoneham-et-Tewkesbury,pr24,QuAbec,2440,7085,2425,7100,5,7105,34.34201267,99.71850809
Lac-Beauport,pr24,QuAbec,3540,7270,3530,7280,5,7285,48.59299931,99.79409746
Sainte-Brigitte-de-Laval,pr24,QuAbec,1565,5680,1555,5690,5,5695,27.48024583,99.73661106
Notre-Dame-des-Anges,pr24,QuAbec,0,25,0,25,0,25,0,100
QuAbec,pr24,QuAbec,191760,507265,190625,508400,1520,509920,37.60589896,99.47933009
L Ancienne-Lorette,pr24,QuAbec,5750,16675,5730,16695,20,16715,34.40023931,99.76069399
Saint-Augustin-de-Desmaures,pr24,QuAbec,8050,17805,8035,17820,10,17830,45.14862591,99.85978688
LA cvis,pr24,QuAbec,44255,137015,44120,137150,45,137195,32.25700645,99.86879988
Frampton,pr24,QuAbec,270,1360,270,1360,0,1360,19.85294118,100
Saints-Anges,pr24,QuAbec,230,1140,230,1140,0,1140,20.1754386,100
VallA ce-Jonction,pr24,QuAbec,360,1930,355,1935,0,1935,18.60465116,99.74160207
Saint-ElzA car,pr24,QuAbec,390,2100,390,2100,5,2105,18.52731591,99.76247031
Sainte-Marie,pr24,QuAbec,3055,12760,3050,12765,5,12770,23.92325764,99.92169146
Sainte-Marguerite,pr24,QuAbec,175,1070,175,1070,0,1070,16.35514019,100
Sainte-HA cnA cdine,pr24,QuAbec,190,1165,190,1165,0,1165,16.30901288,100
Scott,pr24,QuAbec,445,2075,445,2075,5,2080,21.39423077,99.75961538
Saint-Bernard,pr24,QuAbec,305,2130,305,2130,0,2130,14.31924883,100
Saint-Isidore,pr24,QuAbec,525,2895,525,2895,0,2895,18.13471503,100
Saint-Lambert-de-Lauzon,pr24,QuAbec,1495,6160,1495,6160,0,6160,24.26948052,100
Saint-Victor,pr24,QuAbec,365,2350,365,2350,0,2350,15.53191489,100
Saint-Alfred,pr24,QuAbec,100,485,100,485,0,485,20.6185567,100
Beauceville,pr24,QuAbec,1200,6200,1200,6200,0,6200,19.35483871,100
Saint-Odilon-de-Cranbourne,pr24,QuAbec,170,1430,165,1435,0,1435,11.8466899,99.65156794
Saint-Joseph-de-Beauce,pr24,QuAbec,875,4645,875,4645,0,4645,18.83745963,100
Saint-Joseph-des-Aârables,pr24,QuAbec,65,420,65,420,0,420,15.47619048,100
Saint-Jules,pr24,QuAbec,75,570,75,570,0,570,13.15789474,100
Tring-Jonction,pr24,QuAbec,185,1465,185,1465,0,1465,12.62798635,100
Saint-FrA cdA cric,pr24,QuAbec,180,1080,175,1085,0,1085,16.58986175,99.53917051
Saint-SA cverin,pr24,QuAbec,50,265,50,265,0,265,18.86792453,100
Saint-Zacharie,pr24,QuAbec,220,1745,215,1750,0,1750,12.57142857,99.71428571
Sainte-AurA clie,pr24,QuAbec,150,910,150,910,0,910,16.48351648,100
Saint-Prosper,pr24,QuAbec,645,3520,645,3520,5,3525,18.29787234,99.85815603
Saint-Benjamin,pr24,QuAbec,175,885,170,890,0,890,19.66292135,99.43820225
Sainte-Rose-de-Watford,pr24,QuAbec,100,785,100,785,0,785,12.7388535,100
Saint-Louis-de-Gonzague,pr24,QuAbec,60,425,60,425,0,425,14.11764706,100
Saint-Cyprien,pr24,QuAbec,60,545,60,545,0,545,11.00917431,100
Sainte-Justine,pr24,QuAbec,310,1795,305,1800,0,1800,17.22222222,99.72222222
Lac-Etchemin,pr24,QuAbec,750,3845,745,3850,0,3850,19.48051948,99.87012987
Saint-Luc-de-Bellechasse,pr24,QuAbec,65,475,65,475,0,475,13.68421053,100
Sainte-Sabine,pr24,QuAbec,75,375,70,380,0,380,19.73684211,98.68421053
Saint-Camille-de-Lellis,pr24,QuAbec,95,835,95,835,0,835,11.37724551,100
Saint-Magloire,pr24,QuAbec,100,690,100,690,0,690,14.49275362,100
Saint-ThA cophile,pr24,QuAbec,120,745,120,745,0,745,16.10738255,100
Saint-GA cdA con-de-Beauce,pr24,QuAbec,255,2275,255,2275,0,2275,11.20879121,100
Saint-Hilaire-de-Dorset,pr24,QuAbec,5,50,5,50,0,50,10,100
Saint-Aâvariste-de-Forsyth,pr24,QuAbec,65,525,65,525,0,525,12.38095238,100
La Guadeloupe,pr24,QuAbec,225,1745,225,1745,0,1745,12.89398281,100
Saint-HonorA c-de-Shenley,pr24,QuAbec,210,1610,210,1610,5,1615,13.00309598,99.69040248
Saint-Martin,pr24,QuAbec,340,2440,335,2445,0,2445,13.90593047,99.79550102
Saint-RenA c,pr24,QuAbec,90,655,90,655,0,655,13.74045802,100
Saint-CA¢me--LiniA  re,pr24,QuAbec,515,3220,510,3225,0,3225,15.96899225,99.84496124
Saint-Philibert,pr24,QuAbec,75,365,75,365,0,365,20.54794521,100
Saint-Georges,pr24,QuAbec,7685,30680,7670,30695,15,30710,25.02442201,99.90231195
Lac-Poulin,pr24,QuAbec,65,130,65,130,0,130,50,100
Saint-Beno¬Øt-Labre,pr24,QuAbec,280,1585,280,1585,0,1585,17.66561514,100
Saint-Aâphrem-de-Beauce,pr24,QuAbec,410,2515,410,2515,0,2515,16.30218688,100
Notre-Dame-des-Pins,pr24,QuAbec,240,1105,240,1105,0,1105,21.71945701,100
Saint-Simon-les-Mines,pr24,QuAbec,120,500,120,500,0,500,24,100
Saint-Augustin-de-Woburn,pr24,QuAbec,140,695,140,695,0,695,20.14388489,100
Notre-Dame-des-Bois,pr24,QuAbec,250,905,250,905,0,905,27.62430939,100
Val-Racine,pr24,QuAbec,45,170,45,170,0,170,26.47058824,100
Piopolis,pr24,QuAbec,130,370,130,370,0,370,35.13513514,100
Frontenac,pr24,QuAbec,370,1645,365,1650,5,1655,22.35649547,99.39577039
Lac-MA cgantic,pr24,QuAbec,1330,5820,1325,5825,0,5825,22.83261803,99.91416309
Marston,pr24,QuAbec,160,655,160,655,0,655,24.42748092,100
Milan,pr24,QuAbec,70,255,70,255,0,255,27.45098039,100
Nantes,pr24,QuAbec,220,1375,220,1375,0,1375,16,100
Sainte-CA ccile-de-Whitton,pr24,QuAbec,130,870,130,870,0,870,14.94252874,100
Audet,pr24,QuAbec,105,725,105,725,0,725,14.48275862,100
Saint-Robert-Bellarmin,pr24,QuAbec,55,670,55,670,0,670,8.208955224,100
Saint-Ludger,pr24,QuAbec,145,1230,145,1230,0,1230,11.78861789,100
Lac-Drolet,pr24,QuAbec,180,1065,180,1065,0,1065,16.90140845,100
Saint-SA cbastien,pr24,QuAbec,85,695,85,695,0,695,12.23021583,100
Courcelles,pr24,QuAbec,120,1005,120,1005,0,1005,11.94029851,100
Lambton,pr24,QuAbec,290,1560,290,1560,0,1560,18.58974359,100
Saint-Romain,pr24,QuAbec,135,710,135,710,0,710,19.01408451,100
Stornoway,pr24,QuAbec,105,560,105,560,0,560,18.75,100
Stratford,pr24,QuAbec,275,1055,275,1055,0,1055,26.06635071,100
Beaulac-Garthby,pr24,QuAbec,200,875,200,875,0,875,22.85714286,100
Disraeli,pr24,QuAbec,375,2425,375,2425,5,2430,15.43209877,99.79423868
Disraeli,pr24,QuAbec,230,1170,230,1170,0,1170,19.65811966,100
Saint-Jacques-le-Majeur-de-Wolfestown,pr24,QuAbec,45,185,40,190,0,190,23.68421053,97.36842105
Saint-Fortunat,pr24,QuAbec,60,280,60,280,0,280,21.42857143,100
Saint-Julien,pr24,QuAbec,75,400,75,400,0,400,18.75,100
Irlande,pr24,QuAbec,175,950,170,955,0,955,18.32460733,99.47643979
Saint-Joseph-de-Coleraine,pr24,QuAbec,320,1850,315,1855,0,1855,17.25067385,99.73045822
Sainte-PraxA  de,pr24,QuAbec,75,365,75,365,0,365,20.54794521,100
Adstock,pr24,QuAbec,530,2620,530,2620,5,2625,20.19047619,99.80952381
Sainte-Clotilde-de-Beauce,pr24,QuAbec,90,645,90,645,0,645,13.95348837,100
Thetford Mines,pr24,QuAbec,5200,25060,5175,25085,10,25095,20.72125921,99.86052999
Saint-Adrien-d Irlande,pr24,QuAbec,65,390,65,390,0,390,16.66666667,100
Saint-Jean-de-BrA cbeuf,pr24,QuAbec,100,355,95,360,0,360,27.77777778,98.61111111
Kinnear s Mills,pr24,QuAbec,125,355,110,370,0,370,33.78378378,95.94594595
East Broughton,pr24,QuAbec,275,2195,275,2195,0,2195,12.5284738,100
SacrA c-Coeur-de-JA csus,pr24,QuAbec,65,565,65,565,0,565,11.50442478,100
Saint-Pierre-de-Broughton,pr24,QuAbec,170,870,170,870,0,870,19.54022989,100
Saint-Jacques-de-Leeds,pr24,QuAbec,170,700,160,710,0,710,23.94366197,98.5915493
Saint-Ferdinand,pr24,QuAbec,340,2015,340,2015,0,2015,16.87344913,100
Sainte-Sophie-d Halifax,pr24,QuAbec,110,670,110,670,0,670,16.41791045,100
Princeville,pr24,QuAbec,810,5650,805,5655,10,5665,14.29832304,99.73521624
Plessisville,pr24,QuAbec,1205,6560,1200,6565,5,6570,18.34094368,99.847793
Plessisville,pr24,QuAbec,425,2645,420,2650,0,2650,16.03773585,99.81132075
Saint-Pierre-Baptiste,pr24,QuAbec,100,480,100,480,0,480,20.83333333,100
Inverness,pr24,QuAbec,210,810,200,820,0,820,25.6097561,98.7804878
Lyster,pr24,QuAbec,280,1585,280,1585,0,1585,17.66561514,100
Laurierville,pr24,QuAbec,230,1455,230,1455,0,1455,15.80756014,100
Notre-Dame-de-Lourdes,pr24,QuAbec,115,695,110,700,5,705,16.31205674,98.58156028
Villeroy,pr24,QuAbec,60,480,60,480,0,480,12.5,100
Saint-Sylvestre,pr24,QuAbec,190,1005,185,1010,0,1010,18.81188119,99.5049505
Sainte-Agathe-de-LotbiniA  re,pr24,QuAbec,250,1100,245,1105,0,1105,22.62443439,99.54751131
Saint-Patrice-de-Beaurivage,pr24,QuAbec,180,1080,180,1080,0,1080,16.66666667,100
Saint-Narcisse-de-Beaurivage,pr24,QuAbec,180,1090,180,1090,0,1090,16.51376147,100
Saint-Gilles,pr24,QuAbec,390,2135,385,2140,0,2140,18.22429907,99.76635514
Dosquet,pr24,QuAbec,120,890,120,890,0,890,13.48314607,100
Saint-Agapit,pr24,QuAbec,640,3510,635,3515,0,3515,18.20768137,99.85775249
Saint-Flavien,pr24,QuAbec,205,1530,205,1530,0,1530,13.39869281,100
Laurier-Station,pr24,QuAbec,430,2565,430,2565,0,2565,16.76413255,100
Saint-Janvier-de-Joly,pr24,QuAbec,145,960,140,965,0,965,15.02590674,99.48186528
Val-Alain,pr24,QuAbec,190,955,190,955,0,955,19.89528796,100
Saint-Aâdouard-de-LotbiniA  re,pr24,QuAbec,165,1220,165,1220,0,1220,13.52459016,100
Notre-Dame-du-SacrA c-Coeur-d Issoudun,pr24,QuAbec,150,860,150,860,0,860,17.44186047,100
Saint-Apollinaire,pr24,QuAbec,1010,5040,1005,5045,25,5070,19.92110454,99.40828402
Saint-Antoine-de-Tilly,pr24,QuAbec,545,1600,545,1600,0,1600,34.0625,100
Sainte-Croix,pr24,QuAbec,395,2290,395,2290,0,2290,17.2489083,100
LotbiniA  re,pr24,QuAbec,185,845,185,845,0,845,21.89349112,100
Leclercville,pr24,QuAbec,105,470,105,470,0,470,22.34042553,100
Neuville,pr24,QuAbec,1285,3880,1285,3880,5,3885,33.07593308,99.87129987
Pont-Rouge,pr24,QuAbec,2110,8710,2100,8720,5,8725,24.18338109,99.82808023
Donnacona,pr24,QuAbec,1390,5905,1385,5910,5,5915,23.49957735,99.83093829
Cap-SantA c,pr24,QuAbec,780,2985,775,2990,0,2990,26.08695652,99.83277592
Saint-Basile,pr24,QuAbec,450,2440,450,2440,0,2440,18.44262295,100
Portneuf,pr24,QuAbec,660,3085,660,3085,15,3100,21.29032258,99.51612903
Deschambault-Grondines,pr24,QuAbec,570,2130,565,2135,0,2135,26.69789227,99.76580796
Saint-Gilbert,pr24,QuAbec,55,285,55,285,0,285,19.29824561,100
Saint-Marc-des-CarriA  res,pr24,QuAbec,425,2735,420,2740,0,2740,15.51094891,99.81751825
Saint-Casimir,pr24,QuAbec,205,1495,200,1500,0,1500,13.66666667,99.66666667
Saint-Thuribe,pr24,QuAbec,40,290,40,290,0,290,13.79310345,100
Saint-Ubalde,pr24,QuAbec,205,1400,205,1400,0,1400,14.64285714,100
Saint-Alban,pr24,QuAbec,200,1220,200,1220,0,1220,16.39344262,100
Sainte-Christine-d Auvergne,pr24,QuAbec,90,445,90,445,0,445,20.2247191,100
Saint-LA conard-de-Portneuf,pr24,QuAbec,165,1015,165,1015,0,1015,16.25615764,100
Lac-Sergent,pr24,QuAbec,190,465,190,465,0,465,40.86021505,100
Saint-Raymond,pr24,QuAbec,1775,9465,1770,9470,0,9470,18.74340021,99.94720169
RiviA  re-A†-Pierre,pr24,QuAbec,90,665,85,670,0,670,13.43283582,99.25373134
Notre-Dame-de-Montauban,pr24,QuAbec,115,750,115,750,0,750,15.33333333,100
Lac-aux-Sables,pr24,QuAbec,225,1370,225,1370,0,1370,16.42335766,100
Saint-Adelphe,pr24,QuAbec,165,945,165,945,0,945,17.46031746,100
Saint-SA cverin,pr24,QuAbec,110,860,110,860,0,860,12.79069767,100
Saint-Tite,pr24,QuAbec,485,3815,480,3820,0,3820,12.69633508,99.86910995
HA crouxville,pr24,QuAbec,205,1335,205,1335,0,1335,15.35580524,100
Grandes-Piles,pr24,QuAbec,105,360,105,360,0,360,29.16666667,100
Saint-Roch-de-MA ckinac,pr24,QuAbec,65,440,65,440,0,440,14.77272727,100
Sainte-ThA  cle,pr24,QuAbec,305,2445,305,2445,0,2445,12.47443763,100
Trois-Rives,pr24,QuAbec,105,490,105,490,0,490,21.42857143,100
Shawinigan,pr24,QuAbec,10535,48595,10485,48645,35,48680,21.64133114,99.8253903
Trois-RiviA  res,pr24,QuAbec,38055,129345,37880,129520,205,129725,29.33513201,99.70707265
Sainte-Anne-de-la-PA crade,pr24,QuAbec,400,2030,400,2030,0,2030,19.7044335,100
Batiscan,pr24,QuAbec,250,940,250,940,0,940,26.59574468,100
Sainte-GeneviA  ve-de-Batiscan,pr24,QuAbec,210,1060,210,1060,0,1060,19.81132075,100
Champlain,pr24,QuAbec,430,1665,430,1665,5,1670,25.74850299,99.7005988
Saint-Luc-de-Vincennes,pr24,QuAbec,105,580,105,580,0,580,18.10344828,100
Saint-Maurice,pr24,QuAbec,525,2750,525,2750,5,2755,19.05626134,99.8185118
Notre-Dame-du-Mont-Carmel,pr24,QuAbec,1125,5430,1120,5435,0,5435,20.69917203,99.90800368
Saint-Narcisse,pr24,QuAbec,310,1705,310,1705,0,1705,18.18181818,100
Saint-Stanislas,pr24,QuAbec,180,1025,175,1030,0,1030,17.47572816,99.51456311
Saint-Prosper-de-Champlain,pr24,QuAbec,75,510,75,510,0,510,14.70588235,100
Saint-SylvA  re,pr24,QuAbec,120,870,120,870,0,870,13.79310345,100
BA ccancour,pr24,QuAbec,3140,12020,3125,12035,5,12040,26.07973422,99.83388704
Sainte-Marie-de-Blandford,pr24,QuAbec,105,470,105,470,0,470,22.34042553,100
Lemieux,pr24,QuAbec,60,305,60,305,0,305,19.67213115,100
Manseau,pr24,QuAbec,95,825,95,825,0,825,11.51515152,100
Sainte-franAßoise,pr24,QuAbec,70,480,70,480,0,480,14.58333333,100
Sainte-Sophie-de-LA cvrard,pr24,QuAbec,120,730,120,730,0,730,16.43835616,100
Fortierville,pr24,QuAbec,115,650,110,655,5,660,17.42424242,98.48484848
Parisville,pr24,QuAbec,65,525,65,525,0,525,12.38095238,100
Sainte-CA ccile-de-LA cvrard,pr24,QuAbec,80,365,80,365,0,365,21.91780822,100
Saint-Pierre-les-Becquets,pr24,QuAbec,235,1190,235,1190,0,1190,19.74789916,100
Deschaillons-sur-Saint-Laurent,pr24,QuAbec,185,930,185,930,0,930,19.89247312,100
WA¢linak,pr24,QuAbec,40,180,40,180,0,180,22.22222222,100
Saints-Martyrs-Canadiens,pr24,QuAbec,65,225,65,225,0,225,28.88888889,100
Ham-Nord,pr24,QuAbec,160,785,160,785,5,790,20.25316456,99.36708861
Notre-Dame-de-Ham,pr24,QuAbec,70,415,70,415,0,415,16.86746988,100
Saint-RA cmi-de-Tingwick,pr24,QuAbec,105,475,105,475,0,475,22.10526316,100
Tingwick,pr24,QuAbec,315,1390,310,1395,0,1395,22.58064516,99.64157706
Chesterville,pr24,QuAbec,170,890,170,890,0,890,19.1011236,100
Sainte-HA clA  ne-de-Chester,pr24,QuAbec,75,360,75,360,0,360,20.83333333,100
Saint-Norbert-d Arthabaska,pr24,QuAbec,175,1180,175,1180,0,1180,14.83050847,100
Saint-Christophe-d Arthabaska,pr24,QuAbec,600,2890,600,2890,5,2895,20.7253886,99.82728843
Victoriaville,pr24,QuAbec,9630,42780,9605,42805,75,42880,22.45802239,99.76679104
Warwick,pr24,QuAbec,980,4705,975,4710,5,4715,20.78472959,99.78791092
Saint-Albert,pr24,QuAbec,255,1530,250,1535,0,1535,16.61237785,99.6742671
Sainte-Aâlizabeth-de-Warwick,pr24,QuAbec,70,370,70,370,0,370,18.91891892,100
Kingsey Falls,pr24,QuAbec,690,1990,685,1995,5,2000,34.5,99.5
Sainte-SA craphine,pr24,QuAbec,70,380,70,380,0,380,18.42105263,100
Sainte-Clotilde-de-Horton,pr24,QuAbec,310,1620,310,1620,0,1620,19.13580247,100
Saint-Samuel,pr24,QuAbec,135,740,135,740,0,740,18.24324324,100
Saint-ValA  re,pr24,QuAbec,210,1280,205,1285,5,1290,16.27906977,99.2248062
Saint-Rosaire,pr24,QuAbec,135,840,135,840,0,840,16.07142857,100
Sainte-Anne-du-Sault,pr24,QuAbec,185,1270,185,1270,0,1270,14.56692913,100
Daveluyville,pr24,QuAbec,150,950,145,955,0,955,15.70680628,99.47643979
Maddington,pr24,QuAbec,70,440,70,440,0,440,15.90909091,100
Saint-Louis-de-Blandford,pr24,QuAbec,155,900,155,900,0,900,17.22222222,100
Saint-Joseph-de-Ham-Sud,pr24,QuAbec,70,205,70,205,0,205,34.14634146,100
Saint-Adrien,pr24,QuAbec,105,490,100,495,0,495,21.21212121,98.98989899
Wotton,pr24,QuAbec,245,1385,245,1385,0,1385,17.68953069,100
Saint-Camille,pr24,QuAbec,120,510,120,510,0,510,23.52941176,100
Saint-Georges-de-Windsor,pr24,QuAbec,210,905,210,905,0,905,23.20441989,100
Asbestos,pr24,QuAbec,1530,6955,1520,6965,0,6965,21.96697775,99.85642498
Danville,pr24,QuAbec,1335,3940,1245,4030,20,4050,32.96296296,97.28395062
Saint-Isidore-de-Clifton,pr24,QuAbec,215,685,185,715,0,715,30.06993007,95.8041958
Chartierville,pr24,QuAbec,105,305,105,305,0,305,34.42622951,100
La Patrie,pr24,QuAbec,235,740,230,745,0,745,31.54362416,99.32885906
Newport,pr24,QuAbec,380,605,260,725,0,725,52.4137931,83.44827586
Cookshire-Eaton,pr24,QuAbec,2330,4775,1980,5125,0,5125,45.46341463,93.17073171
Ascot Corner,pr24,QuAbec,840,2845,805,2880,0,2880,29.16666667,98.78472222
East Angus,pr24,QuAbec,975,3640,955,3660,0,3660,26.63934426,99.45355191
Westbury,pr24,QuAbec,270,990,260,1000,0,1000,27,99
Bury,pr24,QuAbec,690,1000,550,1140,0,1140,60.52631579,87.71929825
Hampden,pr24,QuAbec,75,215,70,220,0,220,34.09090909,97.72727273
Scotstown,pr24,QuAbec,160,535,150,545,0,545,29.35779817,98.16513761
Lingwick,pr24,QuAbec,145,380,130,395,0,395,36.70886076,96.20253165
Weedon,pr24,QuAbec,535,2600,530,2605,5,2610,20.49808429,99.61685824
Dudswell,pr24,QuAbec,635,1705,615,1725,0,1725,36.8115942,98.84057971
Stoke,pr24,QuAbec,880,2760,875,2765,0,2765,31.82640145,99.81916817
Saint-franAßois-Xavier-de-Brompton,pr24,QuAbec,580,2095,570,2105,0,2105,27.55344418,99.52494062
Saint-Denis-de-Brompton,pr24,QuAbec,1295,3375,1290,3380,0,3380,38.31360947,99.85207101
Racine,pr24,QuAbec,450,1250,445,1255,0,1255,35.85657371,99.60159363
Bonsecours,pr24,QuAbec,190,570,185,575,0,575,33.04347826,99.13043478
Lawrenceville,pr24,QuAbec,140,650,140,650,0,650,21.53846154,100
Sainte-Anne-de-la-Rochelle,pr24,QuAbec,175,605,170,610,0,610,28.68852459,99.18032787
Valcourt,pr24,QuAbec,630,2285,625,2290,0,2290,27.51091703,99.78165939
Valcourt,pr24,QuAbec,290,1040,285,1045,0,1045,27.75119617,99.5215311
Maricourt,pr24,QuAbec,150,490,145,495,0,495,30.3030303,98.98989899
Kingsbury,pr24,QuAbec,65,125,60,130,0,130,50,96.15384615
Melbourne,pr24,QuAbec,615,915,525,1005,0,1005,61.19402985,91.04477612
Ulverton,pr24,QuAbec,235,400,215,420,5,425,55.29411765,94.11764706
Windsor,pr24,QuAbec,1485,5315,1475,5325,0,5325,27.88732394,99.81220657
Val-Joli,pr24,QuAbec,425,1495,420,1500,0,1500,28.33333333,99.66666667
Richmond,pr24,QuAbec,1760,2990,1530,3220,0,3220,54.65838509,92.85714286
Saint-Claude,pr24,QuAbec,250,1105,250,1105,0,1105,22.62443439,100
Cleveland,pr24,QuAbec,920,1385,750,1555,0,1555,59.16398714,89.06752412
Sherbrooke,pr24,QuAbec,65840,149635,63815,151660,795,152455,43.18651405,98.15027385
Saint-Malo,pr24,QuAbec,110,480,105,485,0,485,22.68041237,98.96907216
Saint-Venant-de-Paquette,pr24,QuAbec,45,105,45,105,0,105,42.85714286,100
East Hereford,pr24,QuAbec,140,290,125,305,0,305,45.90163934,95.08196721
